Treatment,Tratamiento,Day,Treat_day,Nitrogen,g N/Kg s,CE,pH,COT,CRA
C0_1,C0,7,C0_7,0.203,2.03,0.25,5.79,12.28,495.86
C0_1,C0,7,C0_7,0.214,2.14,0.23,6.40,23.00,519.07
C0_1,C0,7,C0_7,0.197,1.97,0.23,5.62,19.06,451.07
C1_1,C1,7,C1_7,0.203,2.03,0.31,6.24,22.02,487.47
C1_1,C1,7,C1_7,0.197,1.97,0.27,6.06,14.02,491.87
C1_1,C1,7,C1_7,0.191,1.91,0.35,5.96,15.10,378.20
C2_1,C2,7,C2_7,0.197,1.97,0.34,5.71,17.36,444.20
C2_1,C2,7,C2_7,0.194,1.94,0.35,5.31,20.67,449.91
C2_1,C2,7,C2_7,0.203,2.03,0.33,5.93,22.80,479.57
C0_2,C0,14,C0_14,0.205,2.05,0.28,5.55,21.00,409.87
C0_2,C0,14,C0_14,0.214,2.14,0.58,5.63,13.15,513.33
C0_2,C0,14,C0_14,0.214,2.14,0.28,5.85,20.87,480.23
C1_2,C1,14,C1_14,0.219,2.19,0.39,6.17,13.54,553.90
C1_2,C1,14,C1_14,0.191,1.91,0.41,5.52,19.79,593.23
C1_2,C1,14,C1_14,0.191,1.91,0.32,6.10,24.42,563.63
C2_2,C2,14,C2_14,0.203,2.03,0.37,5.48,19.26,644.15
C2_2,C2,14,C2_14,0.205,2.05,0.46,5.45,14.16,641.98
C2_2,C2,14,C2_14,0.203,2.03,0.38,5.47,24.89,645.33
C0_3,C0,25,C0_25,0.183,1.83,0.19,4.81,13.35,530.97
C0_3,C0,25,C0_25,0.18,1.8,0.29,5.59,13.60,548.53
C0_3,C0,25,C0_25,0.183,1.83,0.25,4.84,23.55,534.13
C1_3,C1,25,C1_25,0.186,1.86,0.26,5.61,13.68,616.33
C1_3,C1,25,C1_25,0.209,2.09,0.26,5.62,18.76,624.13
C1_3,C1,25,C1_25,0.194,1.94,0.24,4.97,13.61,653.73
C2_3,C2,25,C2_25,0.189,1.89,0.36,5.07,14.95,553.53
C2_3,C2,25,C2_25,0.197,1.97,0.25,4.83,23.58,556.37
C2_3,C2,25,C2_25,0.147,NA,0.25,4.94,20.08,527.57
C0_4,C0,35,C0_35,0.197,1.97,0.35,5.72,23.69,557.07
C0_4,C0,35,C0_35,0.175,1.75,0.35,5.51,24.33,577.33
C0_4,C0,35,C0_35,0.194,1.94,0.35,5.60,23.01,593.73
C1_4,C1,35,C1_35,0.186,1.86,0.23,5.08,21.98,602.07
C1_4,C1,35,C1_35,0.18,1.8,0.21,4.63,12.73,564.63
C1_4,C1,35,C1_35,0.186,1.86,0.27,4.72,18.42,582.63
C2_4,C2,35,C2_35,0.183,1.83,0.36,4.79,20.71,540.23
C2_4,C2,35,C2_35,0.191,1.91,0.25,4.79,17.62,579.57
C2_4,C2,35,C2_35,0.203,2.03,0.25,4.78,NA,559.17
C0_5,C0,50,C0_50,0.183,1.83,0.27,5.31,24.07,589.80
C0_5,C0,50,C0_50,0.189,1.89,0.39,5.43,18.37,616.50
C0_5,C0,50,C0_50,0.18,1.8,0.35,6.01,12.40,635.30
C1_5,C1,50,C1_50,0.191,1.91,0.31,5.07,23.58,622.67
C1_5,C1,50,C1_50,0.197,1.97,0.30,5.14,21.42,616.93
C1_5,C1,50,C1_50,0.186,1.86,0.36,5.25,13.14,570.93
C2_5,C2,50,C2_50,0.186,1.86,0.22,4.97,21.88,523.50
C2_5,C2,50,C2_50,0.191,1.91,0.26,4.90,22.53,574.40
C2_5,C2,50,C2_50,0.191,1.91,0.33,4.97,23.18,551.60
C0_6,C0,70,C0_70,0.175,1.75,0.42,5.87,12.62,655.83
C0_6,C0,70,C0_70,0.194,1.94,0.50,5.86,16.24,556.37
C0_6,C0,70,C0_70,0.194,1.94,0.35,5.84,NA,579.17
C1_6,C1,70,C1_70,0.194,1.94,0.29,5.41,12.55,571.77
C1_6,C1,70,C1_70,0.186,1.86,0.40,5.93,17.45,637.73
C1_6,C1,70,C1_70,0.208,2.08,0.37,5.89,22.54,636.93
C2_6,C2,70,C2_70,0.208,2.08,0.41,6.29,22.78,516.47
C2_6,C2,70,C2_70,0.189,1.89,0.41,5.96,17.53,535.43
C2_6,C2,70,C2_70,0.208,2.08,0.26,5.82,22.94,553.83
